tweet_id,favorites,retweet_count
675710890956750848,1956,868
675740360753160193,1209,365
675781562965868544,1676,499
675798442703122432,10606,3571
675820929667219457,1088,242
675822767435051008,1581,562
675845657354215424,2367,935
675853064436391936,2784,1368
675870721063669760,1702,601
675878199931371520,4329,1473
675888385639251968,2462,1015
675891555769696257,2212,920
675898130735476737,1700,604
676089483918516224,1366,452
676098748976615425,3120,1519
676101918813499392,2914,1224
676146341966438401,1988,705
676191832485810177,2367,1083
676215927814406144,1801,620
676219687039057920,77658,32778
676237365392908289,1269,309
676263575653122048,2156,580
676430933382295552,1453,364
676440007570247681,1785,703
676470639084101634,12048,4938
676496375194980353,1577,567
676533798876651520,1952,593
676575501977128964,2694,1187
676582956622721024,1255,296
676588346097852417,2427,846
676603393314578432,1215,411
676606785097199616,1956,465
676613908052996102,1135,207
676617503762681856,3016,1043
676776431406465024,5187,2123
676811746707918848,1471,448
676819651066732545,1869,704
676821958043033607,23966,16570
676864501615042560,2188,753
676897532954456065,2345,764
676936541936185344,13203,5207
676942428000112642,2157,807
676946864479084545,1773,400
676948236477857792,2264,924
676949632774234114,1355,422
676957860086095872,2299,857
676975532580409345,2890,1136
677187300187611136,2844,981
677228873407442944,3691,1741
677269281705472000,2078,749
677301033169788928,1293,435
677314812125323265,1716,569
677328882937298944,3782,1587
677331501395156992,1136,251
677334615166730240,1417,314
677530072887205888,1119,240
677547928504967168,7221,3868
677557565589463040,2542,1238
677565715327688705,1349,484
677573743309385728,2234,769
677644091929329666,1957,847
677662372920729601,2032,1040
677673981332312066,3487,1597
677687604918272002,2585,897
677698403548192770,1278,339
677700003327029250,3543,1536
677716515794329600,3183,1030
677895101218201600,5045,2243
677918531514703872,1406,436
678021115718029313,14375,6784
678255464182861824,1652,397
678278586130948096,11985,6482
678334497360859136,1359,279
678341075375947776,1802,573
678380236862578688,2551,967
678389028614488064,1955,450
678396796259975168,1660,449
678399652199309312,82499,33909
678410210315247616,4430,1949
678424312106393600,5656,2709
678446151570427904,4183,1672
678643457146150913,2148,454
678675843183484930,3009,1583
678740035362037760,3933,1814
678755239630127104,7475,3534
678764513869611008,1712,508
678767140346941444,3699,1464
678774928607469569,2928,985
678798276842360832,3647,1272
678800283649069056,2695,963
678969228704284672,1717,495
678991772295516161,2440,1257
679047485189439488,2357,729
679062614270468097,17883,8783
679111216690831360,6234,2734
679132435750195208,3108,1237
679148763231985668,2902,1102
679158373988876288,22517,8680
679462823135686656,33276,20171
679475951516934144,2199,686
